SYMBOL,TICKER,NAME_OF_COMPANY,SERIES,CLOSE_PRICE,PREV_CLOSE,CHANGE_PCT,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_PER,DATE_OF_LISTING,SESSION_DATE
BANK10BETF,BANK10BETF.NS,BANK10BETF,EQ,20.47,20.27,0.9866798223976285,6250,1.28,83.18,,20-Sep-2026
BANKA,BANKA.NS,Banka BioLoo Limited,EQ,79.96,77.2,3.5751295336787448,1630,1.26,87.42,29-OCT-2020,20-Sep-2026
BANKADD,BANKADD.NS,BANKADD,EQ,57.63,57.45,0.3133159268929499,10688,6.15,83.12,,20-Sep-2026
BANKBARODA,BANKBARODA.NS,Bank of Baroda,EQ,234.94,232.3,1.1364614722341742,7110561,16604.69,65.27,19-FEB-1997,20-Sep-2026
BANKBEES,BANKBEES.NS,BANKBEES,EQ,583.58,581.64,0.33353964651675516,369452,2154.6,67.39,,20-Sep-2026
BANKBETA,BANKBETA.NS,BANKBETA,EQ,58.37,58.07,0.5166178749784694,39047,22.77,68.71,,20-Sep-2026
BANKBETF,BANKBETF.NS,BANKBETF,EQ,57.3,57.1,0.35026269702275964,6890,3.94,51.97,,20-Sep-2026
BANKETF,BANKETF.NS,BANKETF,EQ,574.99,572.55,0.42616365382936944,12315,70.71,34.27,,20-Sep-2026
BANKIETF,BANKIETF.NS,BANKIETF,EQ,57.9,57.8,0.17301038062283985,95206,55.11,58.02,,20-Sep-2026
BANKINDIA,BANKINDIA.NS,Bank of India,EQ,140.0,138.17,1.3244553810523358,4269930,5942.98,61.69,30-APR-1997,20-Sep-2026
BANKNIFTY1,BANKNIFTY1.NS,BANKNIFTY1,EQ,58.54,58.29,0.4288900325956425,106721,62.44,62.2,,20-Sep-2026
